sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.01_2x_1	0.0306893	0.0251804	0.0243242	0.0187534	0.0315545	0.0260902	0.0253485	0.0197262	0.0335329	0.0278685	0.0271138	0.0215121	0.0352317	0.0296924	0.0289723	0.0234725	0.0370431	0.0316044	0.030841	0.0253958	0.0198956	0.0	0.0131839	0.00762137	0.0484568	0.0430655	0.0422561	0.0369712	0.0296478	0.0241955	0.0233683	0.0177477	
nematode_0.01_4x_1	0.030974	0.0244175	0.0227225	0.0178847	0.0318656	0.0253207	0.023688	0.0188158	0.0337415	0.027157	0.0255069	0.0206274	0.0355685	0.0289632	0.0273357	0.0224785	0.0374118	0.0309916	0.0292666	0.0245412	0.0201284	0.0131839	0.0	0.00641713	0.0488395	0.0422991	0.0406579	0.0359803	0.0299389	0.0234126	0.0218082	0.0168425	
nematode_0.01_8x_1	0.0245339	0.018799	0.0177551	0.0121886	0.0254729	0.0197465	0.0187576	0.0131991	0.0273617	0.0215566	0.0206069	0.0150363	0.0291924	0.0234817	0.0224522	0.0169932	0.0310369	0.0253924	0.0243387	0.0189697	0.0137164	0.00762137	0.00641713	0.0	0.0426221	0.0370287	0.0360686	0.0307144	0.0235418	0.017767	0.0167491	0.0111496	
nematode_0.02_1x_1	0.0441289	0.0402656	0.0404593	0.034185	0.0450507	0.0413964	0.0414812	0.0351732	0.046586	0.0430526	0.0434493	0.0370402	0.0482471	0.0448216	0.0450888	0.0388131	0.050125	0.0467054	0.0467868	0.0407351	0.0521222	0.0484568	0.0488395	0.0426221	0.0	0.0202184	0.020206	0.0139874	0.0431322	0.039258	0.0394294	0.0331467	
nematode_0.02_2x_1	0.0404959	0.0350143	0.0339861	0.028684	0.0413188	0.0359859	0.0349392	0.029626	0.0429567	0.0375659	0.0368552	0.0315172	0.0446653	0.0393705	0.0385353	0.0331796	0.0465032	0.041405	0.0403647	0.0352171	0.0484522	0.0430655	0.0422991	0.0370287	0.0202184	0.0	0.0129012	0.00758819	0.0393467	0.0341266	0.0330062	0.0277402	
nematode_0.02_4x_1	0.0405359	0.034062	0.0323822	0.0276267	0.0414448	0.0350011	0.0332723	0.0286068	0.0431897	0.0366943	0.0350936	0.0303751	0.0449828	0.0384266	0.036901	0.0321625	0.0468297	0.0404643	0.0387588	0.0341228	0.048719	0.0422561	0.0406579	0.0360686	0.020206	0.0129012	0.0	0.00620656	0.0396711	0.0332027	0.0314259	0.0267247	
nematode_0.02_8x_1	0.0342551	0.0285496	0.0274634	0.0221706	0.0352344	0.029597	0.0283673	0.0231388	0.0369396	0.0312501	0.0303013	0.024983	0.0387557	0.0330667	0.0320499	0.0268125	0.0406412	0.0350486	0.033883	0.0287465	0.0425694	0.0369712	0.0359803	0.0307144	0.0139874	0.00758819	0.00620656	0.0	0.0333396	0.0276588	0.0264664	0.0212035	
nematode_0.0_1x_1	0.0246151	0.0208213	0.0213655	0.0145489	0.0256829	0.0219377	0.0223019	0.0155756	0.0274279	0.0237355	0.0241207	0.0174846	0.0294178	0.0256478	0.0260229	0.0194878	0.0313518	0.0276928	0.0279573	0.0214553	0.0332576	0.0296478	0.0299389	0.0235418	0.0431322	0.0393467	0.0396711	0.0333396	0.0	0.0196418	0.0201162	0.0135119	
nematode_0.0_2x_1	0.0207932	0.0153644	0.0146494	0.00875404	0.0218583	0.0164131	0.0156738	0.00976477	0.0237184	0.0183132	0.0175086	0.0117174	0.0256966	0.0202119	0.0195384	0.0137764	0.0274793	0.0222275	0.0213029	0.0156768	0.0295227	0.0241955	0.0234126	0.017767	0.039258	0.0341266	0.0332027	0.0276588	0.0196418	0.0	0.0134409	0.00771175	
nematode_0.0_4x_1	0.0211278	0.0146253	0.0129565	0.0077912	0.0221526	0.0155631	0.0139602	0.00878909	0.0240296	0.0174512	0.0158117	0.0106808	0.0259993	0.0194163	0.0177993	0.0127184	0.0278351	0.0214165	0.0196865	0.014685	0.0298519	0.0233683	0.0218082	0.0167491	0.0394294	0.0330062	0.0314259	0.0264664	0.0201162	0.0134409	0.0	0.00671655	
nematode_0.0_8x_1	0.0143921	0.00876247	0.00782547	0.0019608	0.015457	0.00979501	0.00890194	0.00297555	0.0173972	0.0117147	0.0107678	0.00497334	0.0193766	0.0136419	0.0128091	0.00703703	0.0212363	0.0157131	0.0147448	0.00905268	0.0233537	0.0177477	0.0168425	0.0111496	0.0331467	0.0277402	0.0267247	0.0212035	0.0135119	0.00771175	0.00671655	0.0	
