sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.01_4x_1	0.0311854	0.0240257	0.0217962	0.0170814	0.0319922	0.0249954	0.0228107	0.0181168	0.0341012	0.0269306	0.0247974	0.0200505	0.0360658	0.0288511	0.0267076	0.0220517	0.0379579	0.0308148	0.0287544	0.0240882	0.0204704	0.0130126	0.0	0.00608778	0.0495816	0.0427003	0.040446	0.0358856	0.0302586	0.0229299	0.0208468	0.0161371	
leech_0.01_8x_1	0.0249698	0.0185491	0.0170258	0.0117835	0.0257448	0.0194735	0.0179866	0.0127542	0.0279497	0.0215226	0.0200994	0.0147539	0.0300601	0.0233339	0.0220017	0.0167069	0.0318014	0.0254254	0.0240629	0.0187756	0.0142566	0.00766634	0.00608778	0.0	0.0434775	0.0373986	0.0357871	0.0306926	0.0240296	0.0175198	0.0160315	0.010831	
leech_0.02_1x_1	0.0455767	0.0411147	0.0408751	0.0347493	0.0468576	0.0420352	0.0418445	0.0357612	0.0483814	0.0441521	0.043803	0.0377106	0.0502203	0.0458687	0.0456997	0.0395796	0.0523231	0.0478417	0.0477391	0.0416307	0.0542572	0.0498772	0.0495816	0.0434775	0.0	0.0205692	0.0201788	0.0140645	0.0443752	0.040116	0.0398974	0.033774	
leech_0.02_2x_1	0.0411591	0.0350024	0.0337927	0.0284788	0.0423188	0.0360865	0.034867	0.0295289	0.044048	0.0380164	0.0367327	0.0314102	0.0459122	0.0398244	0.0386584	0.0333494	0.047929	0.0418146	0.0406764	0.035368	0.0503283	0.0441386	0.0427003	0.0373986	0.0205692	0.0	0.0129399	0.00763425	0.0401029	0.0341088	0.0327959	0.0275139	
leech_0.02_4x_1	0.040987	0.0337178	0.0317614	0.0270367	0.0421081	0.0348447	0.0329098	0.0280976	0.0436625	0.0368338	0.0347467	0.0299936	0.0457841	0.0385845	0.0365881	0.0318874	0.0476725	0.0406395	0.0387325	0.0340177	0.0498386	0.0425405	0.040446	0.0357871	0.0201788	0.0129399	0.0	0.00607681	0.0399836	0.0328186	0.0308082	0.0260849	
leech_0.02_8x_1	0.0350288	0.0285132	0.0270403	0.0218859	0.0360796	0.029566	0.0281304	0.0229269	0.0377863	0.031567	0.030039	0.0248237	0.0397436	0.033358	0.0319449	0.0268043	0.0418322	0.0354526	0.0340936	0.0289021	0.0439099	0.0373942	0.0358856	0.0306926	0.0140645	0.00763425	0.00607681	0.0	0.0339559	0.0275665	0.0260587	0.0208965	
leech_0.0_1x_1	0.026105	0.0215094	0.021209	0.0150053	0.0269717	0.0225458	0.022167	0.015988	0.0289632	0.0244554	0.0242642	0.0179906	0.0307929	0.0262827	0.0261427	0.0199819	0.0329628	0.0284122	0.0283741	0.0220667	0.0349695	0.0305009	0.0302586	0.0240296	0.0443752	0.0401029	0.0399836	0.0339559	0.0	0.0204408	0.0202294	0.0140143	
leech_0.0_2x_1	0.0214414	0.0152757	0.0139615	0.0085612	0.0224194	0.0162855	0.0149267	0.00958495	0.0244691	0.0182805	0.0170405	0.0115732	0.0264905	0.0200332	0.0187672	0.013489	0.0282184	0.0222073	0.0209658	0.0155481	0.0304288	0.0242314	0.0229299	0.0175198	0.040116	0.0341088	0.0328186	0.0275665	0.0204408	0.0	0.0128948	0.0075682	
leech_0.0_4x_1	0.0211823	0.0139584	0.0118829	0.0070554	0.0220388	0.0149913	0.0129216	0.00806712	0.0241915	0.0170356	0.0149599	0.0101019	0.0260893	0.018835	0.0167802	0.0120119	0.0280129	0.0209787	0.0189339	0.0141446	0.0301109	0.0229478	0.0208468	0.0160315	0.0398974	0.0327959	0.0308082	0.0260587	0.0202294	0.0128948	0.0	0.00609313	
leech_0.0_8x_1	0.0149185	0.00853405	0.0071029	0.00173713	0.0159613	0.00963444	0.00812253	0.00279761	0.0179883	0.0116453	0.0101781	0.00480146	0.0199473	0.013466	0.0120139	0.00676738	0.0218803	0.0156066	0.0142506	0.00887838	0.0241104	0.0176005	0.0161371	0.010831	0.033774	0.0275139	0.0260849	0.0208965	0.0140143	0.0075682	0.00609313	0.0	
