sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.01_4x_1	0.0319104	0.026141	0.0246029	0.0196582	0.0326444	0.0270798	0.0254678	0.020556	0.0345364	0.0287664	0.0274027	0.022537	0.0361142	0.030446	0.029077	0.0242075	0.0379909	0.032381	0.0310534	0.0262854	0.0203452	0.0139734	0.0	0.00716705	0.047873	0.0423889	0.0413446	0.0366886	0.0312556	0.0251344	0.0236508	0.0186322	
moss_0.01_8x_1	0.0248401	0.0198212	0.019379	0.0132986	0.0256383	0.0209294	0.020258	0.0143019	0.0276966	0.0227536	0.0222491	0.016389	0.0294322	0.0245493	0.0240518	0.0182788	0.0312188	0.0265602	0.0260832	0.020376	0.013306	0.0079444	0.00716705	0.0	0.0415263	0.0372006	0.0367924	0.0314349	0.0241478	0.018917	0.0183208	0.0122494	
moss_0.02_1x_1	0.0417882	0.0391917	0.0401455	0.0334354	0.0425169	0.0403085	0.0410091	0.0344628	0.0444905	0.0416849	0.0426439	0.0362781	0.0459495	0.0435963	0.0445827	0.0381609	0.0476769	0.0452962	0.0461599	0.0399934	0.0490049	0.0469244	0.047873	0.0415263	0.0	0.0199665	0.0203439	0.0135446	0.0412569	0.0383093	0.039258	0.0326278	
moss_0.02_2x_1	0.0398309	0.0353345	0.0347806	0.0294014	0.0405709	0.0364333	0.0356335	0.0304299	0.0423422	0.0379414	0.0372137	0.0321392	0.0442043	0.039647	0.0390643	0.0338804	0.0455318	0.0412174	0.0407099	0.0356389	0.047067	0.0428666	0.0423889	0.0372006	0.0199665	0.0	0.0135819	0.00778514	0.039102	0.0344951	0.0339119	0.0285103	
moss_0.02_4x_1	0.0410176	0.035273	0.0337952	0.0292493	0.0417777	0.0363129	0.0347454	0.0302554	0.0435472	0.0377566	0.0363465	0.0318863	0.0452679	0.0393515	0.0381322	0.033539	0.0465818	0.0411096	0.0397775	0.0352171	0.0480211	0.0425025	0.0413446	0.0367924	0.0203439	0.0135819	0.0	0.00670142	0.0402755	0.0343434	0.0329206	0.0284093	
moss_0.02_8x_1	0.034369	0.0295	0.0288311	0.0233507	0.0351599	0.0305722	0.0297142	0.0243708	0.0370215	0.0321729	0.0314327	0.0261937	0.0388877	0.0339773	0.0332625	0.0280321	0.0402739	0.0357027	0.03498	0.0298247	0.0419291	0.0373869	0.0366886	0.0314349	0.0135446	0.00778514	0.00670142	0.0	0.0337752	0.0286345	0.0278876	0.0223918	
moss_0.0_1x_1	0.023609	0.0209631	0.0221598	0.0144846	0.0246485	0.0219683	0.0230973	0.0155421	0.0266977	0.0241017	0.0252382	0.0178027	0.0284661	0.0260342	0.0270834	0.0198155	0.0302586	0.0278837	0.0290427	0.0219178	0.0323904	0.0299778	0.0312556	0.0241478	0.0412569	0.039102	0.0402755	0.0337752	0.0	0.0199256	0.0211469	0.0133817	
moss_0.0_2x_1	0.0206553	0.0162402	0.01605	0.00950319	0.0216999	0.0172711	0.0170133	0.0105617	0.0237682	0.0192691	0.0191139	0.0127041	0.0257009	0.0213001	0.0210809	0.0148508	0.0273906	0.023188	0.0231463	0.0169034	0.0293533	0.0251478	0.0251344	0.018917	0.0383093	0.0344951	0.0343434	0.0286345	0.0199256	0.0	0.0150639	0.00841992	
moss_0.0_4x_1	0.0219022	0.0160814	0.0148993	0.00924885	0.0228226	0.017124	0.0158899	0.0102931	0.0247941	0.0189982	0.0178864	0.012388	0.0266788	0.0209315	0.0197401	0.014387	0.0284465	0.0229696	0.0217385	0.0164357	0.0303045	0.0247179	0.0236508	0.0183208	0.039258	0.0339119	0.0329206	0.0278876	0.0211469	0.0150639	0.0	0.00818718	
moss_0.0_8x_1	0.0142894	0.00948137	0.00926025	0.00245068	0.0152424	0.0106028	0.0103036	0.00354755	0.0174033	0.0126132	0.0124847	0.00584597	0.0192383	0.0147115	0.0144762	0.00800363	0.0213118	0.0168204	0.0165787	0.0101467	0.0231441	0.0188098	0.0186322	0.0122494	0.0326278	0.0285103	0.0284093	0.0223918	0.0133817	0.00841992	0.00818718	0.0	
